identifier,full_link,title,weight
coin-3341,https://catalog.princeton.edu/catalog/coin-3341,Coin 3341,3.88
coin-3296,https://catalog.princeton.edu/catalog/coin-3296,Coin 3296,3.34
coin-3286,https://catalog.princeton.edu/catalog/coin-3286,Coin 3286,
coin-9725,https://catalog.princeton.edu/catalog/coin-9725,Coin 9725,
coin-3289,https://catalog.princeton.edu/catalog/coin-3289,Coin 3289,
coin-3329,https://catalog.princeton.edu/catalog/coin-3329,Coin 3329,3.84
coin-3131,https://catalog.princeton.edu/catalog/coin-3131,Coin 3131,5.85
coin-3333,https://catalog.princeton.edu/catalog/coin-3333,Coin 3333,3.49
coin-3262,https://catalog.princeton.edu/catalog/coin-3262,Coin 3262,
coin-3261,https://catalog.princeton.edu/catalog/coin-3261,Coin 3261,16.25
coin-3256,https://catalog.princeton.edu/catalog/coin-3256,Coin 3256,4.06
coin-3087,https://catalog.princeton.edu/catalog/coin-3087,Coin 3087,5.08
coin-3527,https://catalog.princeton.edu/catalog/coin-3527,Coin 3527,3.63
coin-3368,https://catalog.princeton.edu/catalog/coin-3368,Coin 3368,7.41
coin-3254,https://catalog.princeton.edu/catalog/coin-3254,Coin 3254,3.45
coin-3343,https://catalog.princeton.edu/catalog/coin-3343,Coin 3343,3.15
coin-3275,https://catalog.princeton.edu/catalog/coin-3275,Coin 3275,3.08
coin-3273,https://catalog.princeton.edu/catalog/coin-3273,Coin 3273,3.97
coin-3179,https://catalog.princeton.edu/catalog/coin-3179,Coin 3179,19.39
coin-3195,https://catalog.princeton.edu/catalog/coin-3195,Coin 3195,22.01
coin-3213,https://catalog.princeton.edu/catalog/coin-3213,Coin 3213,3.6
coin-3255,https://catalog.princeton.edu/catalog/coin-3255,Coin 3255,2.87
coin-3204,https://catalog.princeton.edu/catalog/coin-3204,Coin 3204,3.32
coin-3272,https://catalog.princeton.edu/catalog/coin-3272,Coin 3272,3.65
coin-3193,https://catalog.princeton.edu/catalog/coin-3193,Coin 3193,18.46
coin-3218,https://catalog.princeton.edu/catalog/coin-3218,Coin 3218,3.97
coin-3202,https://catalog.princeton.edu/catalog/coin-3202,Coin 3202,3.16
coin-3210,https://catalog.princeton.edu/catalog/coin-3210,Coin 3210,3.57
coin-3192,https://catalog.princeton.edu/catalog/coin-3192,Coin 3192,27.41
coin-3206,https://catalog.princeton.edu/catalog/coin-3206,Coin 3206,4.55
coin-3188,https://catalog.princeton.edu/catalog/coin-3188,Coin 3188,8.32
coin-3551,https://catalog.princeton.edu/catalog/coin-3551,Coin 3551,8.04
coin-3515,https://catalog.princeton.edu/catalog/coin-3515,Coin 3515,21.06
coin-9757,https://catalog.princeton.edu/catalog/coin-9757,Coin 9757,
coin-3403,https://catalog.princeton.edu/catalog/coin-3403,Coin 3403,5.01
coin-3185,https://catalog.princeton.edu/catalog/coin-3185,Coin 3185,5.52
coin-3152,https://catalog.princeton.edu/catalog/coin-3152,Coin 3152,
coin-3137,https://catalog.princeton.edu/catalog/coin-3137,Coin 3137,5.05
coin-3149,https://catalog.princeton.edu/catalog/coin-3149,Coin 3149,4.15
coin-3412,https://catalog.princeton.edu/catalog/coin-3412,Coin 3412,5.1
coin-3444,https://catalog.princeton.edu/catalog/coin-3444,Coin 3444,
coin-3438,https://catalog.princeton.edu/catalog/coin-3438,Coin 3438,
coin-9760,https://catalog.princeton.edu/catalog/coin-9760,Coin 9760,
coin-5969,https://catalog.princeton.edu/catalog/coin-5969,Coin 5969,2.56
coin-3151,https://catalog.princeton.edu/catalog/coin-3151,Coin 3151,21.14
coin-2995,https://catalog.princeton.edu/catalog/coin-2995,Coin 2995,2.76
coin-3136,https://catalog.princeton.edu/catalog/coin-3136,Coin 3136,4.32
coin-3062,https://catalog.princeton.edu/catalog/coin-3062,Coin 3062,4.17
coin-3169,https://catalog.princeton.edu/catalog/coin-3169,Coin 3169,11.44
coin-2993,https://catalog.princeton.edu/catalog/coin-2993,Coin 2993,3.35
coin-3060,https://catalog.princeton.edu/catalog/coin-3060,Coin 3060,5.02
coin-2999,https://catalog.princeton.edu/catalog/coin-2999,Coin 2999,2.04
coin-3059,https://catalog.princeton.edu/catalog/coin-3059,Coin 3059,4.81
coin-3120,https://catalog.princeton.edu/catalog/coin-3120,Coin 3120,13.57
coin-2992,https://catalog.princeton.edu/catalog/coin-2992,Coin 2992,5.71
coin-2224,https://catalog.princeton.edu/catalog/coin-2224,Coin 2224,15.24
coin-3018,https://catalog.princeton.edu/catalog/coin-3018,Coin 3018,3.26
coin-2956,https://catalog.princeton.edu/catalog/coin-2956,Coin 2956,5.04
coin-8543,https://catalog.princeton.edu/catalog/coin-8543,Coin 8543,1.4
coin-3115,https://catalog.princeton.edu/catalog/coin-3115,Coin 3115,12.14
coin-2939,https://catalog.princeton.edu/catalog/coin-2939,Coin 2939,4.65
coin-2975,https://catalog.princeton.edu/catalog/coin-2975,Coin 2975,9.32
coin-3053,https://catalog.princeton.edu/catalog/coin-3053,Coin 3053,3.28
coin-8544,https://catalog.princeton.edu/catalog/coin-8544,Coin 8544,1.26
coin-8540,https://catalog.princeton.edu/catalog/coin-8540,Coin 8540,37.23
coin-7843,https://catalog.princeton.edu/catalog/coin-7843,Coin 7843,2.97
coin-3585,https://catalog.princeton.edu/catalog/coin-3585,Coin 3585,
coin-5902,https://catalog.princeton.edu/catalog/coin-5902,Coin 5902,3.72
coin-5672,https://catalog.princeton.edu/catalog/coin-5672,Coin 5672,
coin-3651,https://catalog.princeton.edu/catalog/coin-3651,Coin 3651,
coin-3629,https://catalog.princeton.edu/catalog/coin-3629,Coin 3629,56.73
coin-3642,https://catalog.princeton.edu/catalog/coin-3642,Coin 3642,
coin-3584,https://catalog.princeton.edu/catalog/coin-3584,Coin 3584,
coin-3379,https://catalog.princeton.edu/catalog/coin-3379,Coin 3379,9.55
coin-3628,https://catalog.princeton.edu/catalog/coin-3628,Coin 3628,41.42
coin-8894,https://catalog.princeton.edu/catalog/coin-8894,Coin 8894,3.91
coin-3897,https://catalog.princeton.edu/catalog/coin-3897,Coin 3897,5.07
coin-3587,https://catalog.princeton.edu/catalog/coin-3587,Coin 3587,
coin-3321,https://catalog.princeton.edu/catalog/coin-3321,Coin 3321,3.46
coin-3346,https://catalog.princeton.edu/catalog/coin-3346,Coin 3346,4.32
coin-9731,https://catalog.princeton.edu/catalog/coin-9731,Coin 9731,
coin-3319,https://catalog.princeton.edu/catalog/coin-3319,Coin 3319,2.73
coin-3571,https://catalog.princeton.edu/catalog/coin-3571,Coin 3571,4.33
coin-3890,https://catalog.princeton.edu/catalog/coin-3890,Coin 3890,10.93
coin-3529,https://catalog.princeton.edu/catalog/coin-3529,Coin 3529,5.3
coin-3374,https://catalog.princeton.edu/catalog/coin-3374,Coin 3374,12.3
coin-3569,https://catalog.princeton.edu/catalog/coin-3569,Coin 3569,4.7
coin-3349,https://catalog.princeton.edu/catalog/coin-3349,Coin 3349,3.3
coin-11097,https://catalog.princeton.edu/catalog/coin-11097,Coin 11097,0.82
coin-11100,https://catalog.princeton.edu/catalog/coin-11100,Coin 11100,3.27
coin-11095,https://catalog.princeton.edu/catalog/coin-11095,Coin 11095,4.06
coin-11091,https://catalog.princeton.edu/catalog/coin-11091,Coin 11091,0.77
coin-11098,https://catalog.princeton.edu/catalog/coin-11098,Coin 11098,4.13
coin-11101,https://catalog.princeton.edu/catalog/coin-11101,Coin 11101,3.98
coin-11104,https://catalog.princeton.edu/catalog/coin-11104,Coin 11104,4.04
coin-11099,https://catalog.princeton.edu/catalog/coin-11099,Coin 11099,4.12
coin-11102,https://catalog.princeton.edu/catalog/coin-11102,Coin 11102,3.49
coin-11114,https://catalog.princeton.edu/catalog/coin-11114,Coin 11114,3.76
coin-11110,https://catalog.princeton.edu/catalog/coin-11110,Coin 11110,0.36
coin-11109,https://catalog.princeton.edu/catalog/coin-11109,Coin 11109,4.13
coin-7829,https://catalog.princeton.edu/catalog/coin-7829,Coin 7829,1.69
coin-9234,https://catalog.princeton.edu/catalog/coin-9234,Coin 9234,2.2
coin-9286,https://catalog.princeton.edu/catalog/coin-9286,Coin 9286,1.38
coin-9267,https://catalog.princeton.edu/catalog/coin-9267,Coin 9267,0.67
coin-9268,https://catalog.princeton.edu/catalog/coin-9268,Coin 9268,1.64
coin-9262,https://catalog.princeton.edu/catalog/coin-9262,Coin 9262,0.78
coin-7916,https://catalog.princeton.edu/catalog/coin-7916,Coin 7916,0.58
coin-9251,https://catalog.princeton.edu/catalog/coin-9251,Coin 9251,1.11
coin-9225,https://catalog.princeton.edu/catalog/coin-9225,Coin 9225,3.48
coin-9243,https://catalog.princeton.edu/catalog/coin-9243,Coin 9243,3.22
coin-9217,https://catalog.princeton.edu/catalog/coin-9217,Coin 9217,17.51
coin-9201,https://catalog.princeton.edu/catalog/coin-9201,Coin 9201,10.95
coin-8684,https://catalog.princeton.edu/catalog/coin-8684,Coin 8684,3.87
coin-9218,https://catalog.princeton.edu/catalog/coin-9218,Coin 9218,5.2
coin-9229,https://catalog.princeton.edu/catalog/coin-9229,Coin 9229,2.34
coin-9209,https://catalog.princeton.edu/catalog/coin-9209,Coin 9209,11.2
coin-9252,https://catalog.princeton.edu/catalog/coin-9252,Coin 9252,1.15
coin-9195,https://catalog.princeton.edu/catalog/coin-9195,Coin 9195,4.37
coin-9208,https://catalog.princeton.edu/catalog/coin-9208,Coin 9208,9.87
coin-9202,https://catalog.princeton.edu/catalog/coin-9202,Coin 9202,4.24
coin-9191,https://catalog.princeton.edu/catalog/coin-9191,Coin 9191,1.6
coin-9179,https://catalog.princeton.edu/catalog/coin-9179,Coin 9179,11.06
coin-9189,https://catalog.princeton.edu/catalog/coin-9189,Coin 9189,1.03
coin-9176,https://catalog.princeton.edu/catalog/coin-9176,Coin 9176,8.51
coin-9193,https://catalog.princeton.edu/catalog/coin-9193,Coin 9193,2.94
coin-9173,https://catalog.princeton.edu/catalog/coin-9173,Coin 9173,26.27
coin-9172,https://catalog.princeton.edu/catalog/coin-9172,Coin 9172,24.84
coin-8681,https://catalog.princeton.edu/catalog/coin-8681,Coin 8681,4.12
coin-9199,https://catalog.princeton.edu/catalog/coin-9199,Coin 9199,4.0
coin-9164,https://catalog.princeton.edu/catalog/coin-9164,Coin 9164,3.75
coin-9190,https://catalog.princeton.edu/catalog/coin-9190,Coin 9190,1.8
coin-9174,https://catalog.princeton.edu/catalog/coin-9174,Coin 9174,4.18
coin-9168,https://catalog.princeton.edu/catalog/coin-9168,Coin 9168,3.56
coin-9181,https://catalog.princeton.edu/catalog/coin-9181,Coin 9181,2.57
coin-9161,https://catalog.princeton.edu/catalog/coin-9161,Coin 9161,3.67
coin-9204,https://catalog.princeton.edu/catalog/coin-9204,Coin 9204,4.01
coin-9129,https://catalog.princeton.edu/catalog/coin-9129,Coin 9129,9.79
coin-9159,https://catalog.princeton.edu/catalog/coin-9159,Coin 9159,3.35
coin-9160,https://catalog.princeton.edu/catalog/coin-9160,Coin 9160,3.84
coin-9153,https://catalog.princeton.edu/catalog/coin-9153,Coin 9153,3.81
coin-9157,https://catalog.princeton.edu/catalog/coin-9157,Coin 9157,3.68
coin-9140,https://catalog.princeton.edu/catalog/coin-9140,Coin 9140,2.18
coin-9142,https://catalog.princeton.edu/catalog/coin-9142,Coin 9142,7.69
coin-9131,https://catalog.princeton.edu/catalog/coin-9131,Coin 9131,3.61
coin-9130,https://catalog.princeton.edu/catalog/coin-9130,Coin 9130,2.94
coin-9144,https://catalog.princeton.edu/catalog/coin-9144,Coin 9144,4.45
coin-9122,https://catalog.princeton.edu/catalog/coin-9122,Coin 9122,2.7
coin-9132,https://catalog.princeton.edu/catalog/coin-9132,Coin 9132,2.89
coin-9123,https://catalog.princeton.edu/catalog/coin-9123,Coin 9123,7.73
coin-9115,https://catalog.princeton.edu/catalog/coin-9115,Coin 9115,26.38
coin-9120,https://catalog.princeton.edu/catalog/coin-9120,Coin 9120,11.08
coin-8676,https://catalog.princeton.edu/catalog/coin-8676,Coin 8676,3.67
coin-9068,https://catalog.princeton.edu/catalog/coin-9068,Coin 9068,3.32
coin-9104,https://catalog.princeton.edu/catalog/coin-9104,Coin 9104,11.43
coin-9095,https://catalog.princeton.edu/catalog/coin-9095,Coin 9095,10.94
coin-9102,https://catalog.princeton.edu/catalog/coin-9102,Coin 9102,10.18
coin-9100,https://catalog.princeton.edu/catalog/coin-9100,Coin 9100,12.68
coin-9114,https://catalog.princeton.edu/catalog/coin-9114,Coin 9114,10.75
coin-9106,https://catalog.princeton.edu/catalog/coin-9106,Coin 9106,12.93
coin-9101,https://catalog.princeton.edu/catalog/coin-9101,Coin 9101,11.3
coin-9108,https://catalog.princeton.edu/catalog/coin-9108,Coin 9108,25.0
coin-9085,https://catalog.princeton.edu/catalog/coin-9085,Coin 9085,3.46
coin-9107,https://catalog.princeton.edu/catalog/coin-9107,Coin 9107,21.79
coin-9079,https://catalog.princeton.edu/catalog/coin-9079,Coin 9079,3.02
coin-9065,https://catalog.princeton.edu/catalog/coin-9065,Coin 9065,2.92
coin-9046,https://catalog.princeton.edu/catalog/coin-9046,Coin 9046,2.91
coin-9069,https://catalog.princeton.edu/catalog/coin-9069,Coin 9069,3.22
coin-8672,https://catalog.princeton.edu/catalog/coin-8672,Coin 8672,4.4
coin-9112,https://catalog.princeton.edu/catalog/coin-9112,Coin 9112,10.67
coin-9105,https://catalog.princeton.edu/catalog/coin-9105,Coin 9105,11.98
coin-9073,https://catalog.princeton.edu/catalog/coin-9073,Coin 9073,3.32
coin-9074,https://catalog.princeton.edu/catalog/coin-9074,Coin 9074,3.3
coin-9058,https://catalog.princeton.edu/catalog/coin-9058,Coin 9058,2.85
coin-9076,https://catalog.princeton.edu/catalog/coin-9076,Coin 9076,3.3
coin-9056,https://catalog.princeton.edu/catalog/coin-9056,Coin 9056,3.25
coin-9052,https://catalog.princeton.edu/catalog/coin-9052,Coin 9052,3.08
coin-9045,https://catalog.princeton.edu/catalog/coin-9045,Coin 9045,3.15
coin-9048,https://catalog.princeton.edu/catalog/coin-9048,Coin 9048,2.9
coin-9064,https://catalog.princeton.edu/catalog/coin-9064,Coin 9064,3.27
coin-9049,https://catalog.princeton.edu/catalog/coin-9049,Coin 9049,2.99
coin-8670,https://catalog.princeton.edu/catalog/coin-8670,Coin 8670,4.88
coin-9054,https://catalog.princeton.edu/catalog/coin-9054,Coin 9054,3.23
coin-9037,https://catalog.princeton.edu/catalog/coin-9037,Coin 9037,2.99
coin-9029,https://catalog.princeton.edu/catalog/coin-9029,Coin 9029,3.21
coin-9039,https://catalog.princeton.edu/catalog/coin-9039,Coin 9039,3.02
coin-9040,https://catalog.princeton.edu/catalog/coin-9040,Coin 9040,3.23
coin-9050,https://catalog.princeton.edu/catalog/coin-9050,Coin 9050,2.92
coin-9031,https://catalog.princeton.edu/catalog/coin-9031,Coin 9031,3.52
coin-9047,https://catalog.princeton.edu/catalog/coin-9047,Coin 9047,3.6
coin-9027,https://catalog.princeton.edu/catalog/coin-9027,Coin 9027,1.84
coin-9026,https://catalog.princeton.edu/catalog/coin-9026,Coin 9026,2.79
coin-9021,https://catalog.princeton.edu/catalog/coin-9021,Coin 9021,2.9
coin-9022,https://catalog.princeton.edu/catalog/coin-9022,Coin 9022,3.19
coin-9025,https://catalog.princeton.edu/catalog/coin-9025,Coin 9025,3.23
coin-9010,https://catalog.princeton.edu/catalog/coin-9010,Coin 9010,3.24
coin-9014,https://catalog.princeton.edu/catalog/coin-9014,Coin 9014,3.19
coin-9038,https://catalog.princeton.edu/catalog/coin-9038,Coin 9038,2.98
coin-9011,https://catalog.princeton.edu/catalog/coin-9011,Coin 9011,2.94
coin-9018,https://catalog.princeton.edu/catalog/coin-9018,Coin 9018,3.38
coin-8984,https://catalog.princeton.edu/catalog/coin-8984,Coin 8984,3.73
coin-12640,https://catalog.princeton.edu/catalog/coin-12640,Coin 12640,1.14
coin-12950,https://catalog.princeton.edu/catalog/coin-12950,Coin 12950,3.84
coin-12458,https://catalog.princeton.edu/catalog/coin-12458,Coin 12458,4.91
coin-12484,https://catalog.princeton.edu/catalog/coin-12484,Coin 12484,3.9
coin-12404,https://catalog.princeton.edu/catalog/coin-12404,Coin 12404,4.02
coin-12285,https://catalog.princeton.edu/catalog/coin-12285,Coin 12285,1.3
coin-12462,https://catalog.princeton.edu/catalog/coin-12462,Coin 12462,4.12
coin-12491,https://catalog.princeton.edu/catalog/coin-12491,Coin 12491,3.75
coin-12968,https://catalog.princeton.edu/catalog/coin-12968,Coin 12968,4.25
coin-12477,https://catalog.princeton.edu/catalog/coin-12477,Coin 12477,3.64
coin-12503,https://catalog.princeton.edu/catalog/coin-12503,Coin 12503,3.37
coin-12671,https://catalog.princeton.edu/catalog/coin-12671,Coin 12671,1.22
coin-12611,https://catalog.princeton.edu/catalog/coin-12611,Coin 12611,1.58
coin-12765,https://catalog.princeton.edu/catalog/coin-12765,Coin 12765,1.45
coin-12599,https://catalog.princeton.edu/catalog/coin-12599,Coin 12599,1.91
coin-12584,https://catalog.princeton.edu/catalog/coin-12584,Coin 12584,1.12
coin-12653,https://catalog.princeton.edu/catalog/coin-12653,Coin 12653,0.98
coin-12828,https://catalog.princeton.edu/catalog/coin-12828,Coin 12828,3.52
coin-12867,https://catalog.princeton.edu/catalog/coin-12867,Coin 12867,7.35
coin-12607,https://catalog.princeton.edu/catalog/coin-12607,Coin 12607,1.02
coin-12868,https://catalog.princeton.edu/catalog/coin-12868,Coin 12868,4.04
coin-12854,https://catalog.princeton.edu/catalog/coin-12854,Coin 12854,3.29
coin-12869,https://catalog.princeton.edu/catalog/coin-12869,Coin 12869,8.56
coin-12870,https://catalog.princeton.edu/catalog/coin-12870,Coin 12870,5.47
coin-12871,https://catalog.princeton.edu/catalog/coin-12871,Coin 12871,3.15
coin-12884,https://catalog.princeton.edu/catalog/coin-12884,Coin 12884,3.55
coin-12886,https://catalog.princeton.edu/catalog/coin-12886,Coin 12886,27.0
coin-12556,https://catalog.princeton.edu/catalog/coin-12556,Coin 12556,1.19
coin-12855,https://catalog.princeton.edu/catalog/coin-12855,Coin 12855,3.8
coin-12830,https://catalog.princeton.edu/catalog/coin-12830,Coin 12830,3.78
coin-12997,https://catalog.princeton.edu/catalog/coin-12997,Coin 12997,2.41
coin-12635,https://catalog.princeton.edu/catalog/coin-12635,Coin 12635,1.94
coin-12888,https://catalog.princeton.edu/catalog/coin-12888,Coin 12888,1.06
coin-12363,https://catalog.princeton.edu/catalog/coin-12363,Coin 12363,1.44
coin-12856,https://catalog.princeton.edu/catalog/coin-12856,Coin 12856,3.21
coin-12875,https://catalog.princeton.edu/catalog/coin-12875,Coin 12875,3.51
coin-12889,https://catalog.princeton.edu/catalog/coin-12889,Coin 12889,0.9
coin-12901,https://catalog.princeton.edu/catalog/coin-12901,Coin 12901,3.52
coin-12896,https://catalog.princeton.edu/catalog/coin-12896,Coin 12896,3.86
coin-12678,https://catalog.princeton.edu/catalog/coin-12678,Coin 12678,1.32
coin-12798,https://catalog.princeton.edu/catalog/coin-12798,Coin 12798,3.6
coin-12654,https://catalog.princeton.edu/catalog/coin-12654,Coin 12654,0.98
coin-12775,https://catalog.princeton.edu/catalog/coin-12775,Coin 12775,0.58
coin-12806,https://catalog.princeton.edu/catalog/coin-12806,Coin 12806,3.83
coin-12766,https://catalog.princeton.edu/catalog/coin-12766,Coin 12766,1.6
coin-12627,https://catalog.princeton.edu/catalog/coin-12627,Coin 12627,1.85
coin-12562,https://catalog.princeton.edu/catalog/coin-12562,Coin 12562,1.02
coin-12805,https://catalog.princeton.edu/catalog/coin-12805,Coin 12805,3.87
coin-12586,https://catalog.princeton.edu/catalog/coin-12586,Coin 12586,1.57
coin-12815,https://catalog.princeton.edu/catalog/coin-12815,Coin 12815,3.43
coin-12566,https://catalog.princeton.edu/catalog/coin-12566,Coin 12566,1.18
coin-12604,https://catalog.princeton.edu/catalog/coin-12604,Coin 12604,1.28
coin-12683,https://catalog.princeton.edu/catalog/coin-12683,Coin 12683,0.86
coin-12618,https://catalog.princeton.edu/catalog/coin-12618,Coin 12618,1.17
coin-13085,https://catalog.princeton.edu/catalog/coin-13085,Coin 13085,1.39
coin-13168,https://catalog.princeton.edu/catalog/coin-13168,Coin 13168,1.85
coin-13173,https://catalog.princeton.edu/catalog/coin-13173,Coin 13173,3.59
