identifier,weight
coin-10,1.47
coin-100,
coin-1000,2.52
coin-10000,0.87
coin-10001,0.88
coin-10002,1.47
coin-10003,1.17
coin-10005,0.91
coin-10006,3.85
coin-10007,2.3
coin-10008,2.18
coin-1001,2.86
coin-10010,0.64
coin-10011,
coin-10014,29.62
coin-10015,
coin-10017,0.45
coin-10018,35.64
coin-10019,27.17
coin-1002,2.15
coin-10020,0.66
coin-10021,0.54
coin-10022,0.99
coin-10023,0.81
coin-10024,41.31
coin-10025,0.79
coin-10026,0.64
coin-10027,0.58
coin-10028,0.8
coin-10029,0.86
coin-1003,1.44
coin-10030,0.35
coin-10031,0.25
coin-10032,0.25
coin-10033,0.33
coin-10034,1.03
coin-10035,1.01
coin-10036,1.32
coin-10037,35.93
coin-10038,0.93
coin-10039,2.19
coin-1004,0.97
coin-10040,4.16
coin-10041,3.15
coin-10042,4.64
coin-10043,2.67
coin-10044,2.26
coin-10045,2.72
coin-10046,3.01
coin-10047,3.23
coin-10048,2.89
coin-10049,1.14
coin-1005,14.15
coin-10050,0.53
coin-10051,0.48
coin-10052,1.2
coin-10053,0.98
coin-10054,0.75
coin-10055,0.78
coin-10056,0.23
coin-10057,0.57
coin-10058,0.19
coin-1006,0.97
coin-10060,0.81
coin-10061,4.55
coin-10062,1.5
coin-10063,3.69
coin-10064,5.06
coin-10065,3.75
coin-10066,2.29
coin-10067,3.23
coin-10068,5.11
coin-10069,3.83
coin-10070,2.04
coin-10072,0.86
coin-10073,1.2
coin-10075,2.69
coin-10076,1.74
coin-10077,1.7
coin-10078,2.02
coin-10080,2.38
coin-10081,2.81
coin-10082,3.48
coin-10083,2.35
coin-10084,2.56
coin-10085,3.84
coin-10086,3.26
coin-10087,4.16
coin-10088,4.88
coin-10089,1.91
coin-10090,2.17
coin-10091,6.12
coin-10092,2.64
coin-10093,1.41
coin-10094,2.77
coin-10095,1.72
coin-10096,1.49
coin-10097,2.48
coin-10098,1.595
coin-10099,2.965
coin-101,1.35
coin-1010,14.35
coin-10100,2.88
coin-10101,3.77
coin-10102,1.615
coin-10103,3.97
coin-10104,4.05
coin-10105,4.27
coin-10106,1.94
coin-10107,5.86
coin-10108,2.09
coin-10109,
coin-10110,3.37
coin-10111,1.49
coin-10112,2.38
coin-10113,3.14
coin-10114,2.06
coin-10115,1.85
coin-10116,1.44
coin-10117,5.18
coin-10118,3.57
coin-10119,1.78
coin-10120,2.77
coin-10121,2.05
coin-10122,16.795
coin-10123,21.639
coin-10124,32.29
coin-10125,40.611
coin-10126,2.26
coin-10127,5.34
coin-10128,2.43
coin-10129,2.81
coin-10130,3.65
coin-10131,3.7
coin-10132,3.23
coin-10133,2.24
coin-10134,2.42
coin-10135,3.38
coin-10136,3.56
coin-10137,2.63
coin-10138,3.53
coin-10139,2.57
coin-1014,14.33
coin-10140,3.4
coin-10141,1.84
coin-10142,3.28
coin-10143,2.93
coin-10144,3.27
coin-10145,3.48
coin-10146,3.27
coin-10147,17.81
coin-10148,31.396
coin-10149,11.049
coin-1015,16.84
coin-10150,20.181
coin-10151,25.014
coin-10152,17.582
coin-10153,23.823
coin-10154,3.47
coin-10155,2.95
coin-10156,3.5
coin-10157,3.53
coin-10158,3.31
coin-10159,3.39
coin-1016,17.32
coin-10160,3.09
coin-10161,2.79
coin-10162,3.19
coin-10163,1.92
coin-10164,4.19
coin-10165,2.68
coin-10166,2.27
coin-10167,1.44
coin-10168,3.44
coin-10169,3.22
coin-1017,16.9
coin-10170,3.63
coin-10171,4.61
coin-10172,3.25
coin-10174,3.04
coin-10175,3.42
coin-10176,3.32
coin-10177,3.07
coin-10178,3.0
coin-10179,2.94
coin-1018,17.37
coin-10180,3.34
coin-10181,3.31
coin-10182,3.49
coin-10183,3.48
coin-10184,3.01
coin-10185,3.31
coin-10186,2.82
coin-10187,3.4
coin-10188,3.46
coin-10189,3.15
coin-10190,2.92
coin-10191,3.32
coin-10192,3.26
coin-10193,3.16
coin-10194,3.39
coin-10195,3.11
coin-10196,3.2
coin-10197,3.36
coin-10198,2.73
coin-10199,3.21
coin-102,
coin-1020,17.06
coin-10200,3.41
coin-10201,3.21
coin-10202,3.3
coin-10203,3.15
coin-10204,2.85
coin-10205,3.47
coin-10206,2.52
coin-10207,3.38
coin-10208,3.26
coin-10209,3.41
coin-10210,3.37
coin-10211,3.18
coin-10212,3.29
coin-10213,2.81
coin-10214,3.16
coin-10215,3.57
coin-10216,3.19
coin-10217,3.03
coin-10218,3.3
coin-10219,3.57
coin-10220,3.04
coin-10221,3.52
coin-10222,3.31
coin-10223,3.57
coin-10224,2.97
coin-10225,3.5
coin-10226,3.22
coin-10227,3.54
coin-10228,3.27
coin-10229,3.45
coin-10230,2.95
coin-10231,2.64
coin-10232,2.79
coin-10233,3.37
coin-10234,3.38
coin-10235,3.17
coin-10236,3.14
coin-10237,3.55
coin-10238,2.65
coin-10239,3.43
coin-1024,6.53
coin-10240,3.65
coin-10241,3.35
coin-10242,3.19
coin-10243,3.59
coin-10244,3.16
coin-10245,3.15
coin-10246,3.36
coin-10247,3.48
coin-10248,3.52
coin-10249,3.51
coin-1025,1.22
coin-10250,3.69
coin-10251,3.49
coin-10252,13.361
coin-10253,11.742
coin-10254,23.956
coin-10255,20.589
coin-10256,40.282
coin-10257,36.884
coin-10258,20.76
coin-10259,34.346
coin-1026,1.78
coin-10260,44.554
coin-10261,
coin-10262,5.72
coin-10263,23.627
coin-10264,25.544
coin-10265,4.68
coin-10266,4.02
coin-10267,4.58
coin-10268,3.18
coin-10269,53.346
coin-10270,3.62
coin-10271,6.38
coin-10272,4.9
coin-10273,5.67
coin-10274,3.77
coin-10275,21.973
coin-10276,3.3
coin-10277,3.48
coin-10278,23.545
coin-10279,4.01
coin-10280,18.591
coin-10281,3.13
coin-10282,3.15
coin-10283,5.03
coin-10284,7.35
coin-10285,3.55
coin-10286,3.47
coin-10287,4.38
coin-10288,3.42
coin-10289,4.36
coin-1029,5.94
coin-10290,4.23
coin-10291,2.98
coin-10292,3.12
coin-10293,2.26
coin-10294,2.83
coin-10295,2.6
coin-10296,2.06
coin-10297,2.58
coin-10298,1.99
coin-10299,2.11
coin-103,1.53
coin-1030,8.76
coin-10300,2.75
coin-10301,2.03
coin-10302,2.94
coin-10303,4.06
coin-10304,2.01
coin-10305,4.448
coin-10306,3.56
coin-10307,2.28
coin-10308,4.37
coin-10309,4.48
coin-1031,13.66
coin-10311,4.81
coin-10312,3.93
coin-10313,4.75
coin-10314,2.99
coin-10315,3.61
coin-10316,2.73
coin-10317,3.36
coin-10318,4.15
coin-10319,4.08
coin-1032,14.31
coin-10320,3.57
coin-10321,3.82
coin-10322,2.43
coin-10323,3.98
coin-10324,3.05
coin-10325,3.52
coin-10326,2.75
coin-10327,2.5
coin-10328,3.93
coin-10329,
coin-1033,4.43
coin-10330,1.87
coin-10331,2.8
coin-10332,2.58
coin-10333,5.32
coin-10334,3.67
coin-10335,2.85
coin-10336,4.13
coin-10337,4.04
coin-10338,4.69
coin-10339,3.79
coin-1034,1.39
coin-10340,3.31
coin-10341,3.26
coin-10342,3.93
coin-10343,3.76
coin-10344,3.57
coin-10345,2.25
coin-10346,2.7
coin-10347,1.92
coin-10348,2.02
coin-10349,2.26
coin-1035,13.77
coin-10350,2.27
coin-10351,3.04
coin-10352,3.11
coin-10353,3.0
coin-10355,2.5
coin-10356,3.37
coin-10358,2.16
coin-10359,2.31
coin-1036,6.0
coin-10360,2.19
coin-10361,1.94
coin-10362,1.54
coin-10363,1.14
coin-10364,2.51
coin-10365,4.33
coin-10366,2.31
coin-10367,1.82
coin-10368,6.57
coin-10369,13.82
coin-1037,17.1
coin-10370,3.73
coin-10371,3.66
coin-10372,2.73
coin-10373,2.41
coin-10374,2.34
coin-10375,2.88
coin-10376,2.99
coin-10378,2.38
coin-10379,4.7
coin-10380,2.54
coin-10381,2.72
coin-10382,3.74
coin-10383,3.43
coin-10384,3.04
coin-10385,2.59
coin-10386,4.41
coin-10387,4.04
coin-10388,4.9
coin-10389,2.39
coin-1039,17.13
coin-10390,2.77
coin-10392,3.81
coin-10393,4.18
coin-10394,25.0
coin-10396,3.01
coin-10397,5.61
coin-10398,3.78
coin-10399,5.58
coin-104,1.84
coin-1040,17.17
coin-10400,4.22
coin-10401,4.17
coin-10402,3.92
coin-10403,4.85
coin-10404,3.48
coin-10405,6.54
coin-10406,4.04
coin-10407,2.5
coin-10408,3.0
coin-10409,5.85
coin-1041,10.66
coin-10410,1.92
coin-10411,4.58
coin-10412,3.53
coin-10413,2.3
coin-10414,5.43
coin-10415,4.22
coin-10416,8.32
coin-10417,3.49
coin-10418,3.4
coin-10419,3.78
coin-1042,17.15
coin-10420,3.75
coin-10421,4.06
coin-10422,2.98
coin-10423,4.03
coin-10424,2.91
coin-10425,5.46
coin-10426,5.41
coin-10427,2.75
coin-10428,4.36
coin-10429,4.76
coin-1043,16.75
coin-10431,3.74
coin-10432,2.7
coin-10433,5.11
coin-10434,27.03
coin-10435,22.64
coin-10436,6.39
coin-10437,24.05
coin-10438,13.41
coin-10439,3.42
coin-1044,
coin-10440,3.29
coin-10441,8.0
coin-10442,9.95
coin-10443,8.71
coin-10444,9.46
coin-10445,3.3
coin-10446,11.16
coin-10447,12.27
coin-10448,9.87
coin-10450,14.97
coin-10451,10.39
coin-10452,7.14
coin-10453,3.73
coin-10454,14.19
coin-10455,3.05
coin-10456,4.35
coin-10457,3.45
coin-10458,3.06
coin-10459,3.88
coin-10462,2.67
coin-10463,3.15
coin-10464,2.9
coin-10465,2.5
coin-10466,3.34
coin-10467,3.27
coin-10468,3.96
coin-10469,3.8
coin-10470,4.35
coin-10471,3.47
coin-10472,4.06
coin-10473,2.21
coin-10474,4.26
coin-10475,3.21
coin-10476,2.4
coin-10477,3.09
coin-10478,3.97
coin-10479,6.96
coin-1048,7.63
coin-10480,16.39
coin-10481,
coin-10482,7.46
coin-10483,16.04
coin-10484,
coin-10485,
coin-10486,13.75
coin-10487,
coin-10488,
coin-10489,6.9
coin-1049,7.42
coin-10490,7.86
coin-10491,12.81
coin-10492,3.92
coin-10493,9.78
coin-10494,6.81
coin-10495,12.81
coin-10496,5.54
coin-10497,8.37
coin-10498,9.43
coin-10499,7.32
coin-105,1.57
coin-1050,7.28
coin-10500,13.96
coin-10501,4.75
coin-10502,5.2
coin-10503,5.01
coin-10504,3.65
coin-10505,3.96
coin-10506,13.6
coin-10507,13.09
coin-10508,3.57
coin-10509,12.85
coin-1051,7.4
coin-10510,12.89
coin-10511,2.21
coin-10512,1.61
coin-10513,3.13
coin-10514,2.49
coin-10515,3.3
coin-10516,2.13
coin-10517,2.34
coin-10518,2.92
coin-10519,3.51
coin-1052,2.94
coin-10520,2.91
coin-10522,18.44
coin-10523,22.75
coin-10524,10.45
coin-10525,26.83
coin-10526,17.88
coin-10527,16.68
coin-10528,10.88
coin-10529,18.51
coin-1053,7.74
coin-10530,
coin-10531,15.44
coin-10532,14.09
coin-10533,16.52
coin-10534,16.1
coin-10535,19.53
coin-10536,15.86
coin-10537,16.72
coin-10538,18.55
coin-10539,3.88
coin-1054,3.8
coin-10540,6.46
coin-10541,10.41
coin-10542,5.27
coin-10543,2.73
coin-10544,5.68
coin-10545,6.33
coin-10546,2.08
coin-10547,5.67
coin-10548,5.3
coin-10549,3.63
coin-1055,3.78
coin-10550,3.76
coin-10551,3.78
coin-10552,6.11
coin-10553,2.87
coin-10554,5.33
coin-10555,4.43
coin-10556,4.01
coin-10557,4.47
coin-10558,3.87
coin-10559,0.68
coin-1056,4.91
coin-10560,4.31
coin-10561,1.65
