identifier,full_link,title,weight,axis
coin-10,https://catalog.princeton.edu/catalog/coin-10,"Hisham Ibn 'Abd al-Malik (724 to 743), dirham, Wasit",1.47,6
coin-100,https://catalog.princeton.edu/catalog/coin-100,"Anastasius I (491 to 518), 5 nummi, Constantinople",,12
coin-1000,https://catalog.princeton.edu/catalog/coin-1000,"Charles VII (1422 to 1461), guenar",2.52,5
coin-10000,https://catalog.princeton.edu/catalog/coin-10000,"Henry II of Sassionia (1004 to 1024), denaro, Antioch",0.87,12
coin-10001,https://catalog.princeton.edu/catalog/coin-10001,"Henry II of Sassionia (1004 to 1024), denaro, Antioch",0.88,5
coin-10002,https://catalog.princeton.edu/catalog/coin-10002,"Unknown, denier, Antioch",1.47,4
coin-10003,https://catalog.princeton.edu/catalog/coin-10003,"Unknown, denier, Antioch",1.17,6
coin-10005,https://catalog.princeton.edu/catalog/coin-10005,"Unknown, denier, Antioch",0.91,6
coin-10006,https://catalog.princeton.edu/catalog/coin-10006,"Tancred (1101 to 1112), fractional, Antioch",3.85,6
coin-10007,https://catalog.princeton.edu/catalog/coin-10007,"Tancred (1101 to 1112), fractional, Antioch",2.3,3
coin-10008,https://catalog.princeton.edu/catalog/coin-10008,"Tancred (1101 to 1112), fractional, Antioch",2.18,6
coin-1001,https://catalog.princeton.edu/catalog/coin-1001,"Charles VI (1380 to 1422), florette",2.86,1
coin-10010,https://catalog.princeton.edu/catalog/coin-10010,"Raymond III Orange (1335 to 1340), fractional, Antioch",0.64,10
coin-10011,https://catalog.princeton.edu/catalog/coin-10011,"Unknown, denier, Antioch",,
coin-10014,https://catalog.princeton.edu/catalog/coin-10014,"Christian Albert of Holstein-Gottorp (1659 to 1695), Gottorp",29.62,12
coin-10015,https://catalog.princeton.edu/catalog/coin-10015,"Henry III Franconia (1056 to 1106), denaro, Antioch",,
coin-10017,https://catalog.princeton.edu/catalog/coin-10017,"penny, Le Puy",0.45,2
coin-10018,https://catalog.princeton.edu/catalog/coin-10018,"Louis XIV (1643 to 1715), Paris",35.64,12
coin-10019,https://catalog.princeton.edu/catalog/coin-10019,"Louis XIV (1643 to 1715), Paris",27.17,12
coin-1002,https://catalog.princeton.edu/catalog/coin-1002,"Francois I (1515 to 1547), douzain",2.15,10
coin-10020,https://catalog.princeton.edu/catalog/coin-10020,"penny, Le Puy",0.66,2
coin-10021,https://catalog.princeton.edu/catalog/coin-10021,"penny, Le Puy",0.54,2
