ID,Catalog link,Existing References,Nomisma dataset,Reference link,Monogram link from http://numismatics.org/hrc/symbols,Second monogram link,Third monogram link,
10,https://catalog.princeton.edu/catalog/coin-10,,,,,,,
11,https://catalog.princeton.edu/catalog/coin-11,,,,,,,
12,https://catalog.princeton.edu/catalog/coin-12,Anastasius 23v.; Anastasius 20v.;BMC.Byz. Anastasius 36v.;Sear  15,,,,,,
17,https://catalog.princeton.edu/catalog/coin-17,Breen  145;Nelson  3;Martin  4.3-Bc.1,,,,,,
18,https://catalog.princeton.edu/catalog/coin-18,Ansastasius 23Δ; Asnastasius 20d;BMC.Byz. Anastasius 39v;Sear  16,,,,,,
19,https://catalog.princeton.edu/catalog/coin-19,Anastasius 23B; Anastasius 20b;BMC.Byz. Ansatasius 37;Sear  16,,,,,,
20,https://catalog.princeton.edu/catalog/coin-20,Anastasius 23Є; Anastasius 20e;BMC.Byz. Anastasius 40;Sear  16,,,,,,
21,https://catalog.princeton.edu/catalog/coin-21,"RIC, VII 682. 35;Numismatique Constantinienne III. 195. I. 2",,This coin does not belong ,,,,
22,https://catalog.princeton.edu/catalog/coin-22,Anastasius 25Є; Anastasius 20f;BMC.Byz. Anastasius 40v;Sear  18,,,,,,
23,https://catalog.princeton.edu/catalog/coin-23,Anastasius 25Є; Anastasius 20f;BMC.Byz. Anastasius 40v;Sear  18,,,,,,
25,https://catalog.princeton.edu/catalog/coin-25,Anastasius 42Δο; Anastasius 34a;DOC Anastasius 62v.;Sear  34,,,,,,
26,https://catalog.princeton.edu/catalog/coin-26,Anastasius 43; Anastasius 29;BMC.Byz. Anastasius 62;Sear  33,,,,,,
27,https://catalog.princeton.edu/catalog/coin-27,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
28,https://catalog.princeton.edu/catalog/coin-28,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
29,https://catalog.princeton.edu/catalog/coin-29,Anastasius 27A; Anastasius 23a;BMC.Byz. Anastasius 18;Sear  19,,,,,,
30,https://catalog.princeton.edu/catalog/coin-30,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
31,https://catalog.princeton.edu/catalog/coin-31,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
32,https://catalog.princeton.edu/catalog/coin-32,Anastasius 27Γ; Anastasius 23d;BMC.Byz. Anastasius 19,,,,,,
33,https://catalog.princeton.edu/catalog/coin-33,Anastasius 27Δ; Anastasius 23f;BMC.Byz. Anastasius 25;Sear  19,,,,,,
34,https://catalog.princeton.edu/catalog/coin-34,Anastasius 27Δ; Anastasius 23f;BMC.Byz. Anastasius 25;Sear  19,,,,,,
35,https://catalog.princeton.edu/catalog/coin-35,Anastasius 27Δ; Anastasius 23f;BMC.Byz. Anastasius 25;Sear  19,,,,,,
36,https://catalog.princeton.edu/catalog/coin-36,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
37,https://catalog.princeton.edu/catalog/coin-37,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
38,https://catalog.princeton.edu/catalog/coin-38,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
39,https://catalog.princeton.edu/catalog/coin-39,Anastasius 27A; Anastasius 23a;BMC.Byz. Anastasius 18;Sear  19,,,,,,
40,https://catalog.princeton.edu/catalog/coin-40,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
41,https://catalog.princeton.edu/catalog/coin-41,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
42,https://catalog.princeton.edu/catalog/coin-42,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
43,https://catalog.princeton.edu/catalog/coin-43,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
44,https://catalog.princeton.edu/catalog/coin-44,Anastasius 27A; Anastasius 23a;BMC.Byz. Anastasius 18;Sear  19,,,,,,
45,https://catalog.princeton.edu/catalog/coin-45,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
46,https://catalog.princeton.edu/catalog/coin-46,Anastasius 27Γ; Anastasius 23d;BMC.Byz. Anastasius 19,,,,,,
47,https://catalog.princeton.edu/catalog/coin-47,Anastasius 27Δ; Anastasius 23f;BMC.Byz. Anastasius 25;Sear  19,,,,,,
48,https://catalog.princeton.edu/catalog/coin-48,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
49,https://catalog.princeton.edu/catalog/coin-49,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
50,https://catalog.princeton.edu/catalog/coin-50,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
51,https://catalog.princeton.edu/catalog/coin-51,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
52,https://catalog.princeton.edu/catalog/coin-52,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
53,https://catalog.princeton.edu/catalog/coin-53,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
54,https://catalog.princeton.edu/catalog/coin-54,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
61,https://catalog.princeton.edu/catalog/coin-61,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
62,https://catalog.princeton.edu/catalog/coin-62,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
63,https://catalog.princeton.edu/catalog/coin-63,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
64,https://catalog.princeton.edu/catalog/coin-64,Anastasius 28aΔ; Anastasius 23h;BMC.Byz. Anastasius 24v.;Sear  21,,,,,,
65,https://catalog.princeton.edu/catalog/coin-65,Anastasius 29Є; Anastasius 23m;BMC.Byz. Anastasius 28v.;Sear  22,,,,,,
66,https://catalog.princeton.edu/catalog/coin-66,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
68,https://catalog.princeton.edu/catalog/coin-68,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
69,https://catalog.princeton.edu/catalog/coin-69,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
70,https://catalog.princeton.edu/catalog/coin-70,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
71,https://catalog.princeton.edu/catalog/coin-71,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
72,https://catalog.princeton.edu/catalog/coin-72,Anastasius 27-30; Anastasius 23;BMC.Byz. Anastasius 17-29;Sear  19-22,,,,,,
73,https://catalog.princeton.edu/catalog/coin-73,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
74,https://catalog.princeton.edu/catalog/coin-74,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
75,https://catalog.princeton.edu/catalog/coin-75,Anastasius 32A; Anastasius 24a;BMC.Byz. Anastasius 42;Sear  24,,,,,,
76,https://catalog.princeton.edu/catalog/coin-76,Anastasius 32B; Anastasius 21b;BMC.Byz. Anastasius 43;Sear  24,,,,,,
77,https://catalog.princeton.edu/catalog/coin-77,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
78,https://catalog.princeton.edu/catalog/coin-78,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
79,https://catalog.princeton.edu/catalog/coin-79,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
80,https://catalog.princeton.edu/catalog/coin-80,Anastasius I 31; Anastasius I 18;BMC.Byz. Anastasius I 49;Sear  23,,,,,,
81,https://catalog.princeton.edu/catalog/coin-81,Anastasius 32A; Anastasius 21a;BMC.Byz. Anastasius 42;Sear  24,,,,,,
82,https://catalog.princeton.edu/catalog/coin-82,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
83,https://catalog.princeton.edu/catalog/coin-83,Anastasius 35; Anastasius 22;BMC.Byz. Anastasius 63;Sear  26,,,,,,
84,https://catalog.princeton.edu/catalog/coin-84,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
85,https://catalog.princeton.edu/catalog/coin-85,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
86,https://catalog.princeton.edu/catalog/coin-86,12; Anastasius 10a;BL Anastasius 22,,,,,,
87,https://catalog.princeton.edu/catalog/coin-87,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
